dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Female,2.0,ppv,0.1712470887147999,0.16649581912141762,0.17610529757301333,wilson,4044,23615,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Female,2.0,prevalence,0.07104925053533191,0.06917019907715884,0.0729753457131886,wilson,4977,70050,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Female,2.0,sensitivity,0.812537673297167,0.8014552922411237,0.8231379668939677,wilson,4044,4977,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Female,2.0,specificity,0.6992454627879459,0.695710331833733,0.7027570709889535,wilson,45502,65073,xgboost,0.836544666547034,0.09032157545029328
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Male,1.0,npv,0.9346938775510204,0.9092612796599565,0.9533637437985817,wilson,458,490,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Male,1.0,ppv,0.3691460055096419,0.3211148400827528,0.4199177021347986,wilson,134,363,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Male,1.0,prevalence,0.19460726846424384,0.16943283294821815,0.22252002526539638,wilson,166,853,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Male,1.0,sensitivity,0.8072289156626506,0.7405484003517548,0.8600116790790511,wilson,134,166,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Male,1.0,specificity,0.6666666666666666,0.6305754834639188,0.7009043330353921,wilson,458,687,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Female,2.0,npv,0.9417670682730924,0.9176192724970806,0.9591516523961738,wilson,469,498,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Female,2.0,ppv,0.29876543209876544,0.25624819794682463,0.3450642509663199,wilson,121,405,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Female,2.0,prevalence,0.16611295681063123,0.1432625256377704,0.19179213674591247,wilson,150,903,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Female,2.0,sensitivity,0.8066666666666666,0.7361371418228315,0.8618811082980815,wilson,121,150,l1_logistic_regression,0.7792578674402251,0.1796875
sex_nhanes,sex_nhanes,primary,RIAGENDR,Male vs Female,Female,2.0,specificity,0.6228419654714475,0.5876828606165777,0.6567540658280516,wilson,469,753,l1_logistic_regression,0.7792578674402251,0.1796875
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Male,Male,npv,0.9662848216610258,0.9620098191668845,0.9700937167157352,wilson,7423,7682,calibrated_ensemble,0.8064862598851269,0.09909663290446209
sex_cchs,sex_cchs,primary,DHH_SEX,Male vs Female,Male,Male,ppv,0.22937235543018336,0.21861629046362352,0.24049474667977944,wilson,1301,5672,calibrated_ensemble,0.8064862598851269,0.09909663290446209
