dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,Black,Black,sensitivity,0.8044831880448319,0.7756295679864149,0.8304374537984329,wilson,646,803,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,Black,Black,specificity,0.6814404432132964,0.6721209313687138,0.6906169938593085,wilson,6642,9747,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,White,White,npv,0.9704590041668694,0.9690931748337641,0.9717662334923032,wilson,59855,61677,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,White,White,ppv,0.22352062163777645,0.21908866056289114,0.22801605923540688,wilson,7479,33460,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,White,White,prevalence,0.09776427677980176,0.09589326180479361,0.09966777353536325,wilson,9301,95137,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,White,White,sensitivity,0.8041070852596495,0.7959163844715399,0.8120466877673044,wilson,7479,9301,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,primary,race,Black vs White,White,White,specificity,0.6973181415723007,0.6942359465298668,0.700382676062186,wilson,59855,85836,xgboost,0.8278294146761754,0.09560305430185359
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,Hispanic,Hispanic,npv,0.9775292120243683,0.9744379114351225,0.9802542476964322,wilson,9788,10013,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,Hispanic,Hispanic,ppv,0.19210053859964094,0.17789743242649553,0.20715187018778253,wilson,535,2785,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,Hispanic,Hispanic,prevalence,0.05938427879356149,0.055420304805353905,0.06361268460655141,wilson,760,12798,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,Hispanic,Hispanic,sensitivity,0.7039473684210527,0.6705310984281722,0.7353122823155406,wilson,535,760,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,Hispanic,Hispanic,specificity,0.8130918757268649,0.8060284542489831,0.8199555387954018,wilson,9788,12038,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,White,White,npv,0.9699551203590371,0.9685737209912882,0.9712775984678504,wilson,59434,61275,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,White,White,ppv,0.21950066479539077,0.21512297446328016,0.22394202210096226,wilson,7429,33845,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,White,White,prevalence,0.09745584524810766,0.0955873342300078,0.0993568687629754,wilson,9270,95120,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,White,White,sensitivity,0.8014023732470335,0.7931570404879044,0.809398009090288,wilson,7429,9270,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Hispanic vs White,White,White,specificity,0.692300524170064,0.6892046071383584,0.6953792325473345,wilson,59434,85850,xgboost,0.8309317353798362,0.09293625673630995
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,Multiracial,Multiracial,npv,0.9773399014778326,0.9699081763893764,0.9829684559533103,wilson,1984,2030,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,Multiracial,Multiracial,ppv,0.2512755102040816,0.2221764082497866,0.2828001379403769,wilson,197,784,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,Multiracial,Multiracial,prevalence,0.08635394456289978,0.07653155096770478,0.09730415483020041,wilson,243,2814,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,Multiracial,Multiracial,sensitivity,0.8106995884773662,0.7567554458883312,0.8549732350286234,wilson,197,243,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,Multiracial,Multiracial,specificity,0.7716841695838196,0.7550608743694717,0.7874968024204002,wilson,1984,2571,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,White,White,npv,0.9696317589811945,0.9682547190176636,0.970950858082521,wilson,60378,62269,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,White,White,ppv,0.2253375815505993,0.2208588717550833,0.229880316920035,wilson,7426,32955,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,White,White,prevalence,0.09784298076115265,0.09597213336401775,0.09974627391375554,wilson,9317,95224,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,White,White,sensitivity,0.7970376730707309,0.7887491194588322,0.8050813865586265,wilson,7426,9317,xgboost,0.829137966334633,0.09752003252416362
BRFSS 2022 (heart disease),race_decomposition,prespecified_secondary_supplement,race,Multiracial vs White,White,White,specificity,0.7028298043232798,0.699764732238112,0.7058767375489583,wilson,60378,85907,xgboost,0.829137966334633,0.09752003252416362
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,Black,Black,npv,0.9307692307692308,0.8932318080449524,0.9557628912764675,wilson,242,260,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,Black,Black,ppv,0.42011834319526625,0.34828896081455013,0.49549851827627484,wilson,71,169,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,Black,Black,prevalence,0.20745920745920746,0.17176759478127598,0.24834340686845854,wilson,89,429,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,Black,Black,sensitivity,0.797752808988764,0.7028034801630848,0.8680621726737535,wilson,71,89,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,Black,Black,specificity,0.711764705882353,0.6614651911584271,0.7573324735964009,wilson,242,340,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,White,White,npv,0.9428571428571428,0.9114908617968157,0.9635521800708992,wilson,297,315,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,White,White,ppv,0.2825278810408922,0.23207936631546372,0.3391001732394467,wilson,76,269,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,White,White,prevalence,0.16095890410958905,0.13338441590888206,0.19296456125506173,wilson,94,584,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,White,White,sensitivity,0.8085106382978723,0.7174971706384233,0.8752985695221128,wilson,76,94,l1_logistic_regression,0.7892784251761142,0.180855569673867
NHANES 2017-18 (diabetes),race_decomposition,primary,race,Black vs White,White,White,specificity,0.6061224489795919,0.5621952131563083,0.6483986892842738,wilson,297,490,l1_logistic_regression,0.7892784251761142,0.180855569673867
