dataset,threshold,sensitivity_A,sensitivity_B,sensitivity_gap,specificity_A,specificity_B,specificity_gap,fnr_A,fnr_B,fnr_gap,fpr_A,fpr_B,fpr_gap,ppv_A,ppv_B,ppv_gap,npv_A,npv_B,npv_gap,predicted_positive_rate_A,predicted_positive_rate_B,predicted_positive_rate_gap,disparate_impact_ratio
BRFSS 2022 (heart disease),0.62,0.016983304548071388,0.02250351617440225,-0.005520211626330863,0.9993822225452431,0.9988628156070875,0.0005194069381556643,0.9830166954519286,0.9774964838255977,0.005520211626330873,0.0006177774547568848,0.0011371843929125491,-0.0005194069381556643,0.7763157894736842,0.6021505376344086,0.17416525183927556,0.8895393970759478,0.9303647085766632,-0.040825311500715444,0.002452245740836345,0.0026552462526766595,-0.00020300051184031455,0.9235473878794944
BRFSS 2022 (heart disease),0.63,0.013241220495106506,0.01768133413703034,-0.0044401136419238325,0.9996002616469221,0.9990625912436801,0.0005376704032419299,0.9867587795048935,0.9823186658629697,0.004440113641923871,0.0003997383530779386,0.0009374087563198685,-0.0005376704032419299,0.8070175438596491,0.5906040268456376,0.21641351701401146,0.8891870050105058,0.9300582252042174,-0.04087122019371159,0.0018391843056272587,0.0021270521056388292,-0.00028786780001157047,0.864663494021406
BRFSS 2022 (heart disease),0.64,0.011658031088082901,0.014667470363672896,-0.0030094392755899944,0.9996911112726216,0.999185530096968,0.00050558117565358,0.9883419689119171,0.9853325296363271,0.0030094392755899424,0.0003088887273784424,0.0008144699030320224,-0.00050558117565358,0.826530612244898,0.5793650793650794,0.24716553287981857,0.8890379084122418,0.929866712430639,-0.04082880401839717,0.0015810531750129065,0.0017987152034261242,-0.00021766202841321772,0.8789902770607468
BRFSS 2022 (heart disease),0.65,0.008059873344847437,0.01225637934498694,-0.004196506000139502,0.9998364706737408,0.9993699383768998,0.0004665322968410157,0.9919401266551525,0.9877436206550131,0.004196506000139433,0.00016352932625918193,0.0006300616231001976,-0.0004665322968410157,0.8615384615384616,0.5980392156862745,0.2634992458521871,0.8886932928503367,0.929719219991994,-0.041025927141657315,0.0010486577181208054,0.00145610278372591,-0.00040744506560510467,0.7201811093564943
BRFSS 2022 (heart disease),0.66,0.006620610247553253,0.0108499095840868,-0.004229299336533546,0.9998728105240207,0.9995082445868486,0.00036456593717204555,0.9933793897524468,0.9891500904159132,0.0042292993365335985,0.00012718947597933905,0.0004917554131513846,-0.00036456593717204555,0.8679245283018868,0.627906976744186,0.24001755155770077,0.8885533900631348,0.929635240981076,-0.04108185091794114,0.0008550593701600413,0.0012276945039257673,-0.000372635133765726,0.6964756846478011
BRFSS 2022 (heart disease),0.67,0.005325273459988486,0.008639742816958007,-0.0033144693569695212,0.9998728105240207,0.9996311834401365,0.0002416270838841994,0.9946747265400115,0.991360257183042,0.0033144693569695516,0.00012718947597933905,0.00036881655986353845,-0.0002416270838841994,0.8409090909090909,0.6417910447761194,0.19911804613297157,0.8884242815628027,0.9294971635968735,-0.04107288203407078,0.0007098606091894683,0.0009564596716630978,-0.0002465990624736295,0.7421751593092873
BRFSS 2022 (heart disease),0.68,0.004749568221070812,0.008438818565400843,-0.0036892503443300313,0.9999091503743005,0.9996619181534584,0.0002472322208421085,0.9952504317789291,0.9915611814345991,0.0036892503443299862,9.084962569949617e-05,0.00033808184654160467,-0.0002472322208421085,0.868421052631579,0.65625,0.21217105263157898,0.888370516256094,0.9294858971794359,-0.04111538092334188,0.0006130614352090862,0.000913633119200571,-0.0003005716839914848,0.6710148990061952
BRFSS 2022 (heart disease),0.69,0.004461715601611974,0.007635121559172192,-0.0031734059575602176,0.9999091503743005,0.9997387549367633,0.00017039543753716302,0.995538284398388,0.9923648784408278,0.003173405957560216,9.084962569949617e-05,0.0002612450632366592,-0.00017039543753716302,0.8611111111111112,0.6909090909090909,0.17020202020202024,0.8883418350874928,0.9294378169869276,-0.041095981899434864,0.0005807950438822922,0.0007851534618129908,-0.0002043584179306986,0.7397216877082649
BRFSS 2022 (heart disease),0.7,0.003742084052964882,0.007032348804500703,-0.0032902647515358208,0.9999091503743005,0.9997694896500853,0.00013966072421522924,0.9962579159470352,0.9929676511954993,0.0032902647515358208,9.084962569949617e-05,0.0002305103499147254,-0.00013966072421522924,0.8387096774193549,0.7,0.13870967741935492,0.8882701402676222,0.9294,-0.041129859732377816,0.0005001290655653072,0.0007137758743754461,-0.00021364680881013893,0.7006808208569953
BRFSS 2022 (heart disease),0.71,0.0034542314335060447,0.006027727546714889,-0.002573496113208844,0.9999091503743005,0.9998155917200683,9.355865423221754e-05,0.9965457685664939,0.9939722724532851,0.002573496113208784,9.084962569949617e-05,0.00018440827993171371,-9.355865423221754e-05,0.8275862068965517,0.7142857142857143,0.11330049261083741,0.8882414655798564,0.9293366472403154,-0.041095181660459,0.00046786267423851315,0.0005995717344753747,-0.0001317090602368616,0.7803281031049487
